"interaction","cell1","cell2","p-value"
"WNT3_FZD3_LRP5","T Cell","Macrophage","0"
"WNT3_FZD4_LRP5","B Cell","Macrophage","0"
"WNT3_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT3_FZD4_LRP5","NK Cell","Macrophage","0"
"WNT3_FZD4_LRP5","T Cell","Macrophage","0"
"WNT3_FZD5_LRP5","B Cell","Macrophage","0"
"WNT3_FZD5_LRP5","T Cell","Macrophage","0"
"WNT3_FZD5_LRP5","B Cell","NK Cell","0"
"WNT3_FZD5_LRP5","T Cell","NK Cell","0"
"WNT3_FZD6_LRP5","B Cell","Macrophage","0"
"WNT3_FZD6_LRP5","T Cell","Macrophage","0"
"WNT3_FZD7_LRP5","B Cell","Macrophage","0"
"WNT3_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT3_FZD7_LRP5","NK Cell","Macrophage","0"
"WNT3_FZD7_LRP5","T Cell","Macrophage","0"
"WNT3_FZD8_LRP5","B Cell","Macrophage","0"
"WNT3_FZD8_LRP5","Macrophage","Macrophage","0.01"
"WNT3_FZD8_LRP5","NK Cell","Macrophage","0.01"
"WNT3_FZD8_LRP5","T Cell","Macrophage","0"
"WNT3_FZD9_LRP5","B Cell","Macrophage","0"
"WNT3_FZD9_LRP5","Macrophage","Macrophage","0.01"
"WNT3_FZD9_LRP5","NK Cell","Macrophage","0.03"
"WNT3_FZD9_LRP5","T Cell","Macrophage","0"
"WNT6_FZD1_LRP5","B Cell","Macrophage","0"
"WNT6_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT6_FZD1_LRP5","T Cell","Macrophage","0"
"WNT6_FZD10_LRP5","Macrophage","B Cell","0.01"
"WNT6_FZD10_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD10_LRP5","T Cell","Macrophage","0.03"
"WNT6_FZD10_LRP5","Macrophage","NK Cell","0"
"WNT6_FZD10_LRP5","Macrophage","T Cell","0"
"WNT6_FZD2_LRP5","Macrophage","B Cell","0.01"
"WNT6_FZD2_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD2_LRP5","T Cell","Macrophage","0.03"
"WNT6_FZD2_LRP5","Macrophage","NK Cell","0"
"WNT6_FZD2_LRP5","Macrophage","T Cell","0"
"WNT6_FZD3_LRP5","Macrophage","B Cell","0.01"
"WNT6_FZD3_LRP5","Macrophage","Macrophage","0"
"WNT6_FZD3_LRP5","Macrophage","NK Cell","0"
"WNT6_FZD3_LRP5","Macrophage","T Cell","0"
"WNT6_FZD4_LRP5","B Cell","Macrophage","0"
